ids,notes,author,ref,artist,title,description,literature,text
WA1959.59,"1. Tate and Ashmolean Museum respectively; Rosenfeld and Smith (2007) nos. 37–8.

2. Ashmolean Museum and private collection; Newall (1993) pp. 11–13 and no. 6.

3. Quoted in Staley and Newall (2004) no. 12.

4. Quoted in Cruise (2012) p. 86.",,59,Albert Joseph Moore 1841–1893,"Study of an Ash Trunk, 1857","Watercolour on paper
30.3 x 22.9 cm
Signed in monogram and dated: AM 1857
Purchased, 1959
WA1959.59","Literature: Staley and Newall (2004)
no. 14","In the first volume of Modern Painters (1843), John Ruskin exhorted every painter to ‘go to Nature in all singleness of heart, and walk with her laboriously and trustingly, having no other thoughts but how best to penetrate her meaning, and remember her instruction; rejecting nothing, selecting nothing, and scorning nothing; believing all things to be right and good, and rejoicing always in the truth’. For a few years the members of the Pre-Raphaelite Brotherhood, founded in 1848, followed this prescription, painting in a minutely detailed manner in bright colours on a white ground.

The backgrounds to Millais’s paintings of Ophelia (1851–2) and John Ruskin (1853–4) represent the most intently Ruskinian examination of nature by a member of the Brotherhood.1 It was not until the mid-1850s that landscape artists realised the potential of Ruskin’s words. The true pioneer was John William Inchbold (1830–1888), who exhibited A Study, in March at the Royal Academy in 1855, and Mid-Spring in the following year.2 Ruskin observed that the latter was ‘as close and wonderful a piece of work as there is on the room walls’.3

A further impetus to the habits of microscopic examination of nature came in 1857 with the publication of Ruskin’s Elements of Drawing, in which he specifically advocated that ‘In woods, one or two trunks, with the flowery ground below, are at once the richest and easiest kind of study: a not very thick trunk, say nine inches or a foot in diameter, with ivy running up it sparingly, is an easy and always a rewarding subject’.4

Among the artists who must have read these lines was Albert Moore. The younger brother of the landscape artist Henry Moore (1831–1896), he entered the Royal Academy Schools in 1858. His first exhibits at the Royal Academy were wholly Ruskinian: two watercolours of dead birds in 1857, followed by this Study of an Ash Trunk in 1858. The close focus on a small section of a tree trunk with ivy growing up it, partly covered with moss, the careful delineation of the individual leaves of the ferns, and the general untidiness of the undergrowth all follow Ruskin’s recommendation. So too does the limited palette of greens and browns. It was an exercise that Moore never repeated: he later became a distinguished painter of historical subjects, especially featuring classicised females."
WA1922.1,"1. Quoted in Newall (2004) p. 7.

2. Quoted in Newall (2004) p. 120.

3. Stainton (1985) no. 192.",CH,60,Alfred William Hunt 1830–1896,"A November Rainbow – Dolwyddelan Valley 11 November 1866, 1 p. m., 11 November 1866","Watercolour on paper
50.3 x 75.5 cm
Purchased with the assistance of
The Art Fund, 1922
WA1922.1",Literature: Newall (2004) no. 35,"The son of a minor landscape painter from Liverpool, Hunt was admitted as a scholar of Corpus Christi College, Oxford, in 1848. He won the Newdigate Prize for Poetry in 1851 and was elected a Fellow of his College in 1857. Even as an undergraduate he travelled widely, and frequently exhibited landscape paintings. He no doubt read Ruskin’s volumes of Modern Painters, and will have found the third, ‘Of Mountain Beauty’ (1856), of particular interest, since it encouraged a close geological examination of the structure of the mountain landscapes that Hunt had already been painting in the Lake District and North Wales. Stimulated by Ruskin, Hunt adopted a style that was at once minutely detailed yet richly atmospheric, whether in panoramic views in Snowdonia, or the patient examination of the bough of a tree or a piece of rock. Ruskin recognised Hunt’s prowess, describing a picture shown at the Royal Academy in 1856 as ‘the best landscape I have seen in the exhibition for many a day – uniting most subtle finish and watchfulness of Nature, with real and rare power of composition’.1 He was not always so complimentary, however, calling Hunt’s exhibits in 1859 ‘extremely well meant, but suffering under the same oppression of plethoric labour’, while in 1873 he tried to instruct him in capturing form before colour. Nevertheless, Hunt remained closer to Ruskin than any other landscape artist.

A November Rainbow is one of the artist’s most celebrated works. It was shown at the Old Water-Colour Society in 1867 with the elaborate title insisting on a precise, momentary effect of weather, emphasised by a subtitle from Book IV of Tennyson’s The Princess: A Medley: ‘A stroke of cruel sunshine on a cliff, when all the glens are drown’d in azure gloom.’ Christopher Newall has established that the viewpoint is taken from the hill to the south of the valley of the Lledr, near the hamlet of Bertheos, and about a mile and a quarter to the west of the village of Dolwyddelan. In the middle distance on the right is Dolwyddelan Castle, while in the foreground a cowherd protects himself from the rain with a piece of sacking. As one reviewer noted, the meteorological effect was one favoured by the artist, ‘a rainbow among mountains, with his peculiarly hard, dark shadows and pale sunlight’.2 Technically, this watercolour is one of Hunt’s most sophisticated, in composition, and in the variety of effects in the paint, ranging from minute stippling to vigorous scratching out. The result is a work of astonishing breadth and power, far eclipsing a similar composition created by the artist ten years earlier.3 CH"
[],,,61,William Holman Hunt 1827–1910,"The Sleeping City: the Cemetery of Pera, Constantinople, 1856–88","Watercolour on paper
50.4 x 35.2 cm
Bequeathed by Mrs Thomas Combe, 1893
WA1894.7","Literature: Bronkhurst (2006)
no. d138","Hunt wrote to Mrs Combe on 28 September 1888 that

The drawing was done in January 1856, but it was brought home with the lower part left blank. My dear friend your husband liked it so much that I gave it to him, asking him to keep it until I could complete it. When I was in Florence in 1868 on my way East Mr Combe brought it out for me to take with me, and I have had it ever since, sometimes taking the opportunity of advancing my subject a little, but until this spring I was never able to take it in hand to finish. I promised it for exhibition to the Royal Society of Painters in Water-Colours, but when the time came for delivering it up although I had completed all the facts I had not been able to give the complete general effect, and so after the exhibition this had to be secured by further fastidious study, which was prolonged so far that I feared you would almost lose faith in my energy.

His account vividly demonstrates the difficulties in pursuing the true Pre- Raphaelite principles of painting in minute detail and only in front of the subject. It is not surprising that none of the original Brotherhood continued in this vein much after 1854.

The watercolour was begun at the very end of Hunt’s extended excursion to the Holy Land, while he was waiting for a steamer to take him to Malta after spending about a month at Constantinople. The site is one of two cemeteries in Constantinople, either the Petits Champs des Morts in Pera (modern Beyoğlu) or the larger one at Eyüp overlooking the Bosphorus. Unlike Lear (cat. 42), who found such a scene effortlessly picturesque, for Hunt it was intensely poignant, and his watercolour is loaded with symbolism. The doves are symbols of peace, perhaps a reaction to the massacres of the Crimean War, while the cedars represent timelessness, and the crocuses, the rebirth of spring. This watercolour is one of Hunt’s most elaborate. Every element is painstakingly studied, from the trunks of the trees to the inscriptions on the tombs and the feathers of the pigeons in the foreground. CH"
WA1894.16,"1. Birmingham Museums and Art Gallery; Surtees (1971) no. 42; Treuherz (2003) no. 11.

2. Burne-Jones (1904) I, p. 110.",KW,62,Dante Gabriel Rossetti 1828–1882,"Dante drawing an Angel on the Anniversary of Beatrice’s Death, 1853","Watercolour and bodycolour on paper
42 x 61 cm
Signed in monogram and dated: DGR 1853
Bequeathed by Mrs Thomas Combe, 1893
WA1894.16","Literature: Surtees (1971) no. 58;
Treuherz (2003) no. 42; Harrison and
Newall (2010) no. 8","Rossetti nurtured a life-long affinity with the work of his namesake, the thirteenth-century Florentine poet Dante Alighieri, whose autobiographical romance, La Vita Nuova, he translated during the 1840s. He had produced an earlier pen and ink drawing on the subject of Dante drawing an angel (1848–9) as one of 12 episodes with which he planned to illustrate his translation of the poem.1 So intense was Rossetti’s identification with his poetic predecessor that the following year he changed his name from Gabriel Charles Dante Rossetti to the form by which he would henceforth be known.

This watercolour, the largest and most elaborate that Rossetti had produced to date, was commissioned by Francis McCracken, a Belfast cotton-spinner. It took over a year to complete. The absorbed poet-artist was modelled by Rossetti’s brother William Michael. Dante’s facial features were based on the recently discovered supposed portrait of the poet by Giotto, a copy of which was sent, along with the poet’s death mask, to Rossetti’s father, Professor of Italian Literature at King’s College and a Dante scholar. Realising that he has neglected his visitors, Dante rises with the salutation ‘Another was with me’. The highly detailed symbolic setting, absent from La Vita Nuova, owes much to paintings by Van Eyck and Hans Memling, which Rossetti and Hunt had admired while in Bruges in 1849; the mirror recalls Van Eyck’s The Arnolfini Marriage, the first ‘Primitive’ painting to enter the National Gallery’s collection in 1842. Modelled by Elizabeth Siddal (cat. 66), the woman may represent Dante’s future wife, Gemma Donati, or the pitying woman who watches him from her window. The conflation of these episodes is consistent with Rossetti’s promotion of fidelity of spirit over literalness in translation.

Rossetti painstakingly applied the almost dry pigment, giving a deep saturation of colour quite unlike the effect of traditional watercolour washes, but akin to the appearance of medieval manuscript illumination. The figure of Dante is preoccupied in producing a drawing by the same means as Rossetti, as demonstrated by the flasks of the three primary colours glowing on the windowsill. While bright sunshine illuminates the landscape of Florence beyond, the poet-artist is intent upon depicting Beatrice among the heavenly host – not abiding by the Pre-Raphaelite principle of ‘truth to nature’, but employing a combination of memory and imagination. The work is a highly personal exploration of artistic vocation, so it is unsurprising that when Burne- Jones saw it in Thomas Combe’s collection in 1855 it filled him with particular ‘wonder and delight’, and was instrumental in his decision to devote himself to art rather than to holy orders.2 KW"
WA1893.8,"1. Both drawings are now in the Ashmolean, WA1894.57–8.

2. Now in the National Portrait Gallery, NPG 5834.",CH,63,Sir John Everett Millais 1829–1896,"William Holman Hunt, 1854","Black chalk with brown wash on
cream paper
22 x 17.5 cm
Signed in monogram and dated:
JEM / 18 x 54
Bequeathed by Mrs Thomas Combe, 1893
WA1893.8","Literature: Funnell (1999) no. 27;
Rosenfeld and Smith (2007) no. 36","In common with other artistic brotherhoods, notably the Nazarenes, the Pre- Raphaelite Brotherhood made portrait drawings of each other on several occasions. For example, Millais drew his friend Charles Allston Collins (1828–1873) while they were both staying with Thomas and Martha Combe in Oxford in the winter of 1850–1; and Collins reciprocated.1 The Brotherhood lasted less than five years: Rossetti never really fitted in, and the departure of the sculptor Thomas Woolner in 1853 to seek his fortune in the gold fields of Australia broke up the group. On 12 April 1853 the Brothers all made portraits of each other to send to Woolner: Millais drew Stephens and vice versa, Hunt drew Millais and D. G. Rossetti, D. G. Rossetti drew Hunt and W. M. Rossetti, and W. M. Rossetti drew the whole group. When Hunt, who had long been hoping to travel to the Holy Land in search of real biblical landscapes and types, eventually announced his departure later the same year, the Combes asked Millais to make a portrait of him. Millais made a drawing of Hunt in December 1853, but wrote to Combe that ‘I am so pleased with it, that as I have no other, I must keep it for myself, but will copy it for you and send it in the course of a week or two. Now that Hunt is going I don’t know what will become of me’.2 The portrait made for Combe was, in fact, much more successful. It was drawn from memory on 8 January 1854, and Millais wrote to Combe on 12 January that ‘I have made a drawing of Hunt, which I think you will find very like. It is not a copy of the one I have got but another I drew on Sunday evening. I will get it framed for you (as it would rub sent as it is), and forward it as soon as it is out of the framemaker’s hands’.

Much more informal than contemporary portrait drawings of, for example, John Ruskin, this work adopts a similar pose, but is less highly wrought. Hunt wears a high collar, long hair parted in the centre and hanging over the ears, with well-developed sideburns and beard, giving him an older appearance than in the portrait Millais kept for himself. The whole work is very rapidly drawn in graphite, brown wash applied only in the hair and on the striped stock, and accents added on top of the wash in the hair. Nonetheless, it is a very vivid portrait of Hunt, the most committed to Pre-Raphaelite ideals of all the Brotherhood. CH"
[],1. Quoted in Sanders (2001) p. 78.,,64,Sir John Everett Millais 1829–1896,"Five Illustrations for ‘The Moxon Tennyson’, 1855–7","The Sleeping Palace
Mariana
The Death of the Old Year
St Agnes Eve
The Lord of Burleigh",,"Pen and ink on paper 8.3 x 9.6 cm, 9.6 x 7.9 cm, 9.7 x 8.4 cm 9.7 x 7.2 cm, and 8.3 x 9.6 cm Purchased, 1954 and 1958 WA1954.58 and WA1958.53.1–4

Literature: Goldman (2004), no. 5; Rosenfeld and Smith (2007) no. 71

Millais’s career as an illustrator was longer and more productive than any of his Pre-Raphaelite contemporaries. Lasting from 1852 until 1883, it resulted in over three hundred illustrations for a wide variety of books and periodicals. Apart from a handful of early etchings, all Millais’s drawings were reproduced by other artists, generally as wood engravings, and most often by the firm of Dalziel Brothers.

The Moxon Tennyson was conceived by the publisher Edward Moxon to rival, indeed to eclipse, the success of William Allingham’s The Music Master (1855), illustrated by Rossetti, Millais, and Arthur Hughes. The new edition of Tennyson’s poetry, based on the text published in 1842, was to be heavily illustrated by established artists such as William Mulready, Daniel Maclise, and Thomas Creswick, as well as the more radical members of the Pre-Raphaelite Brotherhood. Holman Hunt later remembered that

The greater proportion were in favour of the work done by prominent artists of the old school, and their admirers were scandalised by the incorporation of designs by members of the Pre-Rapahelite Brotherhood; while our fewer appreciators would not buy the book in which the preponderance of work was by artists they did not approve.1

Millais was the first artist to be approached by Moxon, and he discussed the project while visiting Tennyson at Farringford on the Isle of Wight in November 1854. He provided more designs than either Rossetti or Holman Hunt, 18 in total, and they rank with his most accomplished and atmospheric works. These highly finished drawings would have been preceded by rough sketches, and it has even been suggested that they are not working drawings but repetitions of the wood engravings made for sale. They are undoubtedly among the artist’s most beguiling creations. On a tiny scale, using the finest of pen nibs, Millais has succeeded in evoking not only the details of architecture and dress, but also the mood of each poem. His long familiarity with the texts gave him an unerring facility in selecting the best lines to illustrate. For Mariana, for example, Millais chose the same lines that he had illustrated in one of his first major oils for the Royal Academy in 1851 (now in the Tate): ‘‘Then’, she said, ‘I am very dreary, / He will not come’, she said; / She wept, ‘I am aweary, aweary, / Oh God, that I were dead!’’

When Moxon died in 1858, over three-quarters of the print run of his edition of Poems by Alfred Tennyson (1857) remained unsold. After the stock had been bought by Routledge, however, it quickly sold out, and remains one of the greatest of all English illustrated books. CH"
WA1894.20,"1. Bronkhurst (2006) I, p. 47.

2. Bronkhurst (2006) no. D214.

3. Bronkhurst (2006) nos. D72, D196, D175, D214, D242, D246, D348, D385.",,65,William Holman Hunt 1827–1910,"Thomas Combe, 1860","Red and black chalk on paper
67.6 x 47.9 cm
Signed and dated: Whh /1860 / Oxford
Bequeathed by Mrs Thomas Combe, 1893
WA1894.20",Literature: Bronkhurst (2006) no. D197,"Thomas Combe (1796–1872) was the son of a Leicester bookseller. He continued in that profession in London, Oxford, and Leicester before moving permanently to Oxford in 1838 to be superintendent of one division of the University Press, the side devoted to ‘learning’, i.e. classical texts. He was married to Martha Bennett by John Henry Newman in 1840 and bought his first shares in the ‘bible’ side of the Press in the following year. By 1851 he was the majority shareholder and relinquished his interest in the ‘learning’ side. The Combes were deeply committed to the Tractarian, or High Church, movement, and made their first major acquisition as collectors in 1850, when they bought Holman Hunt’s A Converted British Family. They subsequently acquired the major exhibits by Millais and Charles Allston Collins in 1851, and a Rossetti watercolour in 1855, but later concentrated on their patronage of Hunt. In 1853 the couple bought Holman Hunt’s The Light of the World (Keble College, Oxford), for 400 guineas (Combe’s income at this period was over £4,000 a year). All their major purchases were bequeathed to the University Galleries, Oxford (now the Ashmolean Museum), on the death of Mrs Combe in 1893.

Hunt remained close to the Combes all his life. On a visit to Oxford in 1852, he declared that Combe was ‘such a glorious fellow as to be perfectly delightful as a companion although 60 years of age, or nearly … I must say that he comes more nearly up to my conception of a good practical happy Christian than any man ever met by me’.1 Combe acted as Hunt’s banker during his journey to the Near East in 1854–6, and he later made regular visits to the quadrangle of the University Press, spending Christmas 1859 in Oxford, followed by a summer holiday in June 1860, when this portrait was presumably taken. In the following year he made a companion portrait of Mrs Combe, which he presented to the University Galleries after her death (fig. 46).2

Hunt had made a number of small chalk or pen and ink portraits in the early 1850s. However, he later adopted a much broader and grander scale in black and coloured chalks, to depict his disciples Edward Lear (1857) and Robert Braithwaite Martineau (1860), his patrons Thomas and Martha Combe (1860–1), his first and second wives (1866, 1881), and his daughter (1891).3 The portrait of Combe is probably the most successful. Combe had grown a beard in the late 1850s and was frequently termed ‘the Patriarch’. Hunt shows him with abundant grey hair, bushy eyebrows and a full white beard, looking in a conspiratorial manner towards the artist or viewer, a man of great character and resolution as well as a close friend."
WA1962.17,"1. Treuherz (2003) p. 37.

2. Surtees (1991) pp. 101 and 148.",KW,66,Dante Gabriel Rossetti 1828–1882,"Elizabeth Siddal, 1855","Pen and brown and black ink on paper, with
some scratching out
13 x 11.2 cm
Signed and dated: DGR / Feb. 6 / 1855
Bequeathed by Francis Falconer Madan,
1962
WA1962.17.77","Literature: Surtees (1971) no. 472;
Surtees (1991) no. 26; Treuherz (2003)
no. 28","Born on 25 July 1829 in Hatton Garden, Holborn, Elizabeth ‘Lizzie’ Siddal was the daughter of a Sheffield cutler. She entered the Pre-Raphaelite circle around 1849 or 1850, having been spotted by Walter Deverell working in a milliner’s shop near Leicester Square. Rossetti would later remark that having met her he ‘felt his destiny was defined’.1 Siddal initially modelled for a number of Pre-Raphaelite artists, including Holman Hunt and Millais, but from 1852 she sat exclusively to Rossetti, becoming both his muse and pupil, and eventually in 1860 his wife. Siddal suffered protracted periods of ill health and emotional upheaval, partly owing to Rossetti’s apparent infidelities. She gave birth to a still-born daughter in 1861 and died from an overdose of laudanum in 1862.

Fifty-eight drawings by Rossetti of Siddal survive, all created in the period 1850–61 (although none from October 1856 to 1860, during which time the couple were partially estranged). In 1854 Ford Madox Brown, Rossetti’s former teacher and mentor, recorded after a visit to the artist that Rossetti had a drawer filled with studies of the lovely ‘Guggums’ (one of several pet names by which Siddal was known) ‘each one a fresh charm, each one stamped with immortality’, exclaiming ‘God knows how many, it is like a monomania with him’.2 With her queenly physique, dreamy expressive eyes and heavy, copper-red hair, Siddal’s appearance became a keynote in the Pre-Raphaelite articulation of female beauty. However, she was not merely an object of desire and reverence but had latent talent as an artist and poet in her own right. In April 1855 John Ruskin bestowed on Siddal an annual sum of £150 in return for all of the work that she produced, and he encouraged her in 1857 to attend art classes in Sheffield. Several of her works were shown in the Pre-Raphaelite exhibition at Russell Place that same year.

Of all Rossetti’s drawings of Siddal, this most poignantly captures both the sitter’s evasive melancholy and the artist’s tender response to her delicate beauty. Unusually she is shown full-face, although with her eyes typically downcast. The gleam of gaslight from the right, achieved by scraping away the inked surface, accentuates the lustre of the sitter’s hair and casts half of her expression into shadow, epitomising her reserved and enigmatic character. KW"
WA2014.38,"1. Surtees (1997) p. 22.

2. Surtees (1997) p. 35.

3. Surtees (1997) no. 109.

4. Surtees (1971) no. 335.

5. Marsh (1999) pp. 193–4.",KW,67,Dante Gabriel Rossetti 1828–1882,"Louisa Ruth Herbert, 1858","Graphite on wove paper
framed as an oval
50.8 x 43 cm (frame)
Inscribed: Ruth Herbert / 1858 / DGR delt
Presented by Virginia Surtees, 2014
WA2014.38",Literature: Surtees (1971) no. 325,"Miss Herbert made her official debut in London at the Strand Theatre in October 1855. Rossetti discovered her in February 1856 at the Olympic Theatre and captivated by beauty, made a quick sketch, which he annotated ‘Stunner No I’.1 Two years later, he wrote excitedly from his studio at 14 Chatham Place, Blackfriars to William Bell Scott, ‘I am in the stunning position this morning of expecting the actual visit, at ½ past 11, of a model whom I have been longing to paint for years – Miss Herbert of the Olympic Theatre – who has the most varied and highest expression I ever saw in a woman’s face, besides abundant beauty, golden hair etc. … O my eye she will sit to me for Mary Magdalene in that picture I am beginning. Such luck!’2

Known to Rossetti as Ruth Herbert, although formally Mrs Crabbe, the actress embodied a type of female beauty that would dominate Rossetti’s work in the 1860s, one quite distinct from that of the imperious but fragile Lizzie Siddal. Her glorious hair, frequently mentioned by contemporary theatrical reviewers, is depicted with alluring softness in Rossetti’s portrait. The undulating waves of her coiffure are echoed with great subtlety by the modelling of her throat, the ripples of her simple collar and the sensual curve of her lips. The earrings, ubiquitous in her portraits, are used to great dramatic effect in the gesture of their removal in Rossetti’s Mary Magdalene at the Door of the House of Simon (completed 1859).3 The profession of actress was synonymous with that of courtesan in Victorian society, and Miss Herbert’s marital status the source of considerable complication, making the casting particularly apt.

Rossetti’s fervent and contradictory reverence for her is encapsulated by the inscription he gave to one of his watercolours, ‘BEATRICE HELEN GUENEVERE HERBERT’.4 The quality of Miss Herbert’s appearance was such that the artists gathered around the hospitability of Mrs Prinsep, at Little Holland House, would admire her as though she were, in her own later words, ‘a holy thing’.5 Ruskin urged Rossetti to use her for his altarpiece The Seed of David at Llandaff Cathedral, although in 1861, her features were supplanted in this painting by those of Jane Morris, whose husband William sat for the figure of David.

In exchange for sittings over the course of about a year, Rossetti made portraits of Miss Herbert, and 17 such works were in her possession at the time of her death. This particular drawing served as an illustration to Georgiana Burne-Jones’s biography of her husband, Edward, published in 1904. It was recently given to the Ashmolean by the sitter’s great grand-daughter. KW"
WA1939.5,1. Quoted in Spencer-Longhurst (2000) p. 25.,KW,68,Dante Gabriel Rossetti 1828–1882,"Proserpine, 1871","Pastel on two sheets of paper
97 x 46 cm
Signed in monogram and dated: DGR 1871
Bequeathed by May Morris, 1939
WA1939.5","Literature: Surtees (1971) no. 233A;
Cruise (2012) no. 286","Of all Rossetti’s ‘stunners’, the features of Jane Morris recur in his work with the greatest intensity. Over 25 years the artist would portray her more than 40 times – both as ‘herself’, in formal and informal portraits, and in the guise of mythical, historical, and literary characters from Dante to classical legend.

Rossetti first met Jane Burden in 1857, while in Oxford working on the sequence of murals for the interior of the new Union Library. She would be cast, with uncanny prescience, in the role of Guinevere, while Burne-Jones modelled Launcelot in Rossetti’s Launcelot at the Chapel of the San Graal. Jane married William Morris in 1859 but by late 1869 Jane and Rossetti were intimately involved, and her image came to dominate his work. Writing to her in February 1870 he declared, ‘No-one seems alive at all to me now, and places that are empty of you are empty of all life’.1

Between 1871 and 1877 Rossetti produced at least eight oil paintings of Jane as Proserpine, along with numerous other versions on paper in various media. This work was probably executed during the first idyllic summer that Jane and Rossetti spent together at Kelmscott Manor, near Lechlade in Oxfordshire, while William Morris magnanimously travelled in Iceland. The drawing remained in Jane’s possession, and was bequeathed to the Ashmolean by her daughter May in accordance with her mother’s wishes.

The subject of Proserpine abducted to the Underworld and trapped there for half of every year has clear resonances with the triangular relationship of Morris, Jane, and Rossetti. Yet the imposing, monumental stature of the brooding figure, together with the sonnets in Italian and in English that Rossetti inscribed on to other versions of the composition, make it clear that Proserpine is an exploration of death, hope, and the imagination. While her consumption of the pomegranate partially condemns Proserpine to the Underworld, in Christian symbolism the fruit was an emblem of the Resurrection. The light in the background is thus not only a tantalising glimmer from the (for now) unattainable world above, but a possible suggestion of hope. This tale of opposing halves is replicated in the construction of the drawing from two pieces of paper, chamfered together, as well as the contrasting articulation of surfaces in the work. The figure’s flesh is conveyed in rich blended pastel, distinct from the background and folds of her green-blue silk robe, which are swiftly worked in free, individually discernible strokes. The enduring power of the image derives from its ability to encompass both a personal and a primal meaning, encouraging wide-ranging meditation in the viewer. KW"
WA1965.60,"1. An oil sketch for the full composition is in York City Art Gallery (YORAG 1483).

2. Charlotte Yeldham, ‘Osborn, Emily Mary (1828–1925)’, Oxford Dictionary of National Biography (2004), http://www.oxforddnb.com/ view/article/48916, accessed 6 January 2015.

3. The Queen, 4 December 1880, p. 501.",CP,69,Emily Mary Osborn 1828–1925,"Study for ‘Nameless and Friendless’, c. 1857","Black and red chalk heightened with white
on buff paper
80 x 72 cm
Inscribed: Millais, 1854
Purchased, 1965
WA1965.60","Literature: Cherry (1987) pl. 10,
pp. 78–81","This drawing is a finished study for the painting Nameless and Friendless, exhibited at the Royal Academy in 1857 and the International Exhibition in 1862.1 It incorporates a ruled perspective construction related to the full composition, and scored lines are visible throughout, following the main outlines. This indicates that it was probably traced for transfer using a stylus, so it is likely to have been used as a cartoon for the final painting. The work shows a young woman standing; she nervously winds a length of string around her fingers as a corpulent dealer considers her work. Next to her stands a boy, probably a younger brother for whom she has responsibility, clutching a portfolio of drawings. The young boy, in particular, is beautifully drawn, the delicate red in his ear indicating his exposure to the elements. It has been suggested that the image is based on the novel Self-Control by Mary Brunton (1810, reprinted 1855), but the similar incidents described in chapter IX of the book make no mention of this boy.

In the finished painting we see two top-hatted gentlemen, and a well-dressed woman leaving the shop followed by a servant. They clearly illustrate the contrast between wealth and poverty underlined by the lines from Proverbs (10.15), which were attached to the painting in the Royal Academy catalogue: ‘The rich man’s wealth is his strong city: the destruction of the poor is their poverty.’ The painting called attention to the difficulties faced by respectable middle-class women forced to make a living through their art in a society that frowned on their participation in the marketplace. The distressed gentlewoman – struggling to survive as a governess, writer or dressmaker – was a familiar figure in the art and literature of this period, and the ‘Woman Question’ would continue to be debated for much of the century. The year 1857 also marked the formation of the Society of Female Artists, designed to support such women. Osborn became a member of the Society, and in 1859 signed a petition calling for women to be admitted to the Royal Academy Schools.2

Osborn pursued a highly successful career as a genre and landscape painter. The daughter of a clergyman, she trained at James Leigh’s drawing school in London and exhibited widely. Two of her paintings were purchased by Queen Victoria, and Nameless and Friendless sold for £250. Through such lucrative sales, Osborn financed her own studio. Several of her works demonstrate ‘protest in favour of the afflicted and down-trodden classes’.3 Half the World Knows not how the Other Half Lives was awarded a prize at the Crystal Palace exhibition of 1864 as the best figure subject in oil by any British artist. CP"
WA1933.5,"1. Art Gallery of New South Wales; Bennett (2010) no. A40.

2. Bennett (2010) I, p. 221.

3. Ibid.

4. Lady Lever Art Gallery, Port Sunlight; Bennett (2010) no. A84a.

5. Bennett (2010) I, p. 222.",CH,70,Ford Madox Brown 1821–1893,"The Nosegay, 1865","Watercolour and oil on paper
47.5 x 31.9 cm
Signed in monogram: FMB
Presented by Mrs W. F. R. Weldon, 1933
WA1933.5","Literature: Bennett (2010) no. A84;
Treuherz (2011) no. 93","Ford Madox Brown was never a member of the Pre-Raphaelite Brotherhood, indeed never suggested as a member, though he was closely associated with them in the 1850s. Unlike his younger friends, he enjoyed a cosmopolitan education, studying at the Academies in Bruges, Ghent, and Antwerp, and then in Rome, where he worked out his first masterpiece, the huge Geoffrey Chaucer Reading the ‘Legend of Custance’ to Edward III and his Court (1847–51).1 For a brief period in the 1860s he produced a number of Aesthetic subjects, female figures with little narrative content, in emulation of Dante Gabriel Rossetti’s Bocca Bacciata (1859; Museum of Fine Arts, Boston).

In 1865 Brown held a one-man exhibition at 196 Piccadilly, where he came to the attention of the Manchester collector, Frederick Craven (1818–1895). Through the intermediary of Rossetti, Craven commissioned from Brown a pendant to a watercolour by William Henry Hunt of A Boy Praying (now in Manchester City Art Gallery), of ‘a golden headed female party’.2 Brown considered and rejected the possibility of making a watercolour repetition of an earlier subject, and noted that ‘the subject of “The Nosegay” on the other hand being not as yet fixed in any way, I could make it accord more perfectly as to size of figure and general proportions with Hunt’s design, without thinking of giving up my own feelings or style’.3

The model for the figure was Brown’s daughter Cathy (born in 1850), and the setting the garden of their home at Grove Terrace, Kentish Town. According to his diary, the artist worked most intensively on the subject in the autumn months of 1865, finishing it on 25 October. A smaller watercolour was completed at much the same time and, though generally described as a sketch, is more probably a repetition.4 The subject is a comely young woman in white holding a large bouquet of garden flowers, with a cat nuzzling at her legs through her skirt. The high garden wall appears in many early Pre-Raphaelite paintings, and derives from the medieval concept of the hortus conclusus.

Craven was initially pleased with The Nosegay, finding it a ‘very charming work’.5 In 1868, however, he decided to offer it back to Brown, having persuaded himself that the artist’s more high-minded history subjects would suit him better – he later bought versions of Elijah and Cordelia. Nevertheless, Brown managed to sell the work easily to the great Pre-Raphaelite collector, William Graham (cat. 75). CH"
